OTU	Test-Statistic	P	FDR_P	Bonferroni_P	bushes_mean	none_mean	mycelium_mean	tree_mean	shrubs_mean	grass_mean
k__Bacteria;p__Chlamydiae	2.75883610098	0.737106052666	0.948651453935	1.0	4.24056994109e-05	5.5446524068e-05	0.0	5.55569273315e-05	6.70847027966e-05	0.000135700359546
k__Bacteria;p__BHI80-139	2.70126582278	0.745924828682	0.948651453935	1.0	3.61116451214e-05	3.98839747792e-05	0.0	3.70379515544e-05	6.44003077693e-05	4.54816909054e-05
k__Bacteria;p__Nitrospirae	2.59378585969	0.762309204055	0.948651453935	1.0	0.0147162644596	0.0172570828801	0.0181818181818	0.0233277364873	0.0180427487015	0.0135219671033
k__Bacteria;p__Verrucomicrobia	2.15580090498	0.8271940235	0.983731831876	1.0	0.111983017559	0.115348438842	0.0909090909091	0.108453295143	0.126952319326	0.105280923753
k__Bacteria;p__	2.04597885074	0.84274711353	0.983731831876	1.0	0.000144446580486	0.000157919167688	0.0	0.000209881725475	0.000157770141945	0.000227545468701
k__Bacteria;p__Proteobacteria	1.79257918552	0.87703611034	0.983731831876	1.0	0.292566549682	0.301735525207	0.342148760331	0.26660534828	0.30503773191	0.283602129318
k__Bacteria;p__WS2	1.38139828753	0.926337234441	0.983731831876	1.0	2.14607037985e-05	2.49837216635e-05	0.0	6.17299192573e-06	1.76274774676e-05	4.13578860584e-05
k__Bacteria;p__WS3	1.32994696872	0.931820199955	0.983731831876	1.0	0.00323675727625	0.00537578980856	0.00661157024793	0.00528408108842	0.00558107866429	0.00588501144744
k__Bacteria;p__Acidobacteria	1.18824563672	0.946000054707	0.983731831876	1.0	0.188626329326	0.182474959096	0.161983471074	0.163392923282	0.179164282574	0.186961112752
k__Bacteria;p__SR1	0.953460586443	0.966231480991	0.983731831876	1.0	0.0	2.49700369111e-06	0.0	0.0	6.23137079772e-06	9.51860871093e-06
k__Bacteria;p__Lentisphaerae	0.785714285714	0.977935568612	0.983731831876	1.0	0.0	0.0	0.0	0.0	0.0	3.32207371814e-07
k__Bacteria;p__Synergistetes	0.785714285714	0.977935568612	0.983731831876	1.0	0.0	0.0	0.0	0.0	0.0	1.26467017402e-05
k__Bacteria;p__WS5	0.785714285714	0.977935568612	0.983731831876	1.0	0.0	0.0	0.0	0.0	0.0	1.25489408694e-06
k__Bacteria;p__Kazan-3B-28	0.685931948471	0.983731831876	0.983731831876	1.0	0.0	7.05832861602e-07	0.0	0.0	0.0	4.41566819492e-06
